Tweet,Sentiment,Emotion 1,Emotion 2,Emotion 3,1st Most Prominent Emotion Present in position,2nd Most Prominent Emotion Present in position,3rd Most Prominent Emotion Present in position,Sentiment Accuracy
"A Palestinian boy giving his brother a bath at a United Nations shelter school,childhood in gaza 😢 #ICC4Israel #Gaza http://t.co/1W7ON2JUl3",Positive,Trust,Joy,Disgust,,,,
We r distributing maternity packages to hundreds of mums who have given birth in the current hostilities in #Gaza RT http://t.co/HqPRfYNsvL,Neutral,Fear,Joy,Trust,,,,
"'We teach life, Sir' #Gaza http://t.co/HDSJOIkR1F",Positive,Trust,Joy,Surprise,,,,
Demonstration in Madrid supporting Palestinians in Gaza. By @fotomdm  - @Demotix News http://t.co/VFdGmOtLGd,Neutral,Joy,Joy,Joy,,,,
"@USDayofRage NOT IRAQ, NOT GAZA, NOT AFGHANISTAN, BUT F*CKING ST. LOUIS #ferguson #FergusonShooting http://t.co/Fw1kb7Npuy�? SHAMEFUL",Negative,Sadness,Joy,Joy,,,,
Why #Israel ? Why do you murder children and destroy their lives ? Why do you destroy their childhoods and future ? http://t.co/6CcFfQxZE4,Negative,Anger,Joy,Joy,,,,
"What's worse Killing an unborn fetus, or one that has been alive for two years? Israel is a war criminal #ICC4Israel http://t.co/ZUfxTghsrr",Negative,Fear,Disgust,Anger,,,,
The Brief: #US protests. #Gaza truce. Yazidis flee #Iraq's Mt Sinjar. #EU's boat migrant crisis. #NorthKorea more http://t.co/5m9mYvX7OM,Neutral,Joy,Joy,Joy,,,,
"@ICRC_ilot:Hundreds of factories, companies and construction sites have been destroyed in Gaza ruining livelihoods. http://t.co/sxV31EegRk",Negative,Fear,Sadness,Anger,,,,
"15/Di Jumat barokah ini, mari dukung persalinan para ibu #Gaza agar bayi2 kita disana dpt meneruskan perjuangan menjaga tanah suci Al-Aqsa!",Neutral,Joy,Joy,Joy,,,,
People who cried for Robbie Williams but remained silent throughout bombs dropping on Gaza hospitals and schools. Really? Is that compassion,Positive,Fear,Joy,Joy,,,,
Holy War Arrives in Germany,Neutral,Fear,Joy,Joy,,,,
"8 months baby Neda, rescued from under wreckage and revived after an immediate treatment, in #Gaza",Slightly Positive,Joy,Anticipation,Sadness,,,,
"Israel akan takut bila Masjid penuh dengan orang islam, bukannya bila McD kosong. Hmm.",Neutral,Joy,Joy,Joy,,,,
No human should have to live under conditions ,Neutral,Joy,Joy,Joy,,,,
#Palestine Settler Violence Watch is out! http://t.co/LuT7gTkM3Y Stories via @FitzInfo @jncatron,Neutral,Joy,Joy,Joy,,,,
"Antisemite is a trick, we always use it former Israel minister:  http://t.co/qWfUtLleSI  @charlesfrith @haloefekti #BDS",Slightly Negative,Surprise,Joy,Joy,,,,
STOP ETHNIC CLEANSING OF PALESTINE is out! http://t.co/vObZLN8BG3 Stories via @DarthMUN15 @KarlRadl,Neutral,Joy,Joy,Joy,,,,
#Israel #Obama Poll: Most Americans Disapprove of Obama's Israel Policy. http://t.co/ln3lC74w7t,Negative,Fear,Sadness,Disgust,,,,
SHARE THIS: #Hamas sacrifices #Gaza for its extremism ,Neutral,Joy,Trust,Fear,,,,
Free palestine activists:,Neutral,Joy,Joy,Joy,,,,
"UN figure for Hamas fighters killed in Gaza 242, out of a total of 1900 dead..in other words over 1600 civilians including some 500 children",Neutral,Anger,Joy,Joy,,,,
Palestinian American went to visit his family in Palestine and Israeli Army beats his face in FOUR DAYS AGO... https://t.co/QZeqpdwW2J,Slightly Positive,Joy,Joy,Joy,,,,
@SaveGazaProject: Please follow the official account of #SaveGazaProject ,Neutral,Trust,Joy,Joy,,,,
NO. Israel has NO Right of Self-Defense,Neutral,Joy,Joy,Joy,,,,
Think of those still in shelters . Just because #Israel destroy their homes. And killing their children #supportgaza #PrayForGaza #AJAGAZA,Slightly Negative,Fear,Sadness,Anger,,,,
SHARE THIS: #Hamas sacrifices the people of #Gaza for its extremism,Neutral,Joy,Trust,Fear,,,,
"Israel was killing Children Long before Hamas was Created, 66 years of occupation created Hamas!  #Gaza #ICC4Israel http://t.co/CnAJyJbV0P",Neutral,Joy,Joy,Joy,,,,
The biggest and only paper factory in #Gaza completely destroyed by Israeli warplanes #GazaUnderAttack #ICC4Israel http://t.co/DIv0jtAYcI,Slightly Positive,Fear,Sadness,Anger,,,,
"Number of displaced Palestinian civilians taking shelter in our #Gaza schools has risen again. Now 218,367 seek refuge in 97 shelters.",Neutral,Anticipation,Joy,Joy,,,,
"Just before Daniel left for Gaza, his wife and daughter immigrated to Israel. After his return, they came to greet him. http://t.co/OZHdXobb4p",Neutral,Joy,Joy,Joy,,,,
Horrifying pic from #Gaza after 2 Israeli missiles were dropped in Omar mukhtar street an extremely populated area ! http://t.co/nH6332Ek2A,Negative,Fear,Sadness,Disgust,,,,
"20/Doakan tim kemanusiaan @AkhwatBergerak and @ACTforHumanity tahap ke-3 dimana sy tergabung di dlmnya,dimudahkan Allah menuju #Gaza .Aamiin.",Neutral,Joy,Joy,Joy,,,,
WHY #ISRAEL KILLS PRESS,Negative,Fear,Disgust,Joy,,,,
"The more shells Israel threw at Gaza the more they killed the more money they made, the happier they got",Slightly Negative,Disgust,Fear,Joy,,,,
#Israel is proud 2 be the child kidnapping capital of world.Currently hold over 300 child prisoners! #GazaUnderAttack http://t.co/xCoiTIFwgd,Slightly Positive,Joy,Trust,Anticipation,,,,
RT “@booreydeutsch: #JewishState #Israel http://t.co/TTEMuXawZf�? I LUVE THIS . . SO TRUE . . ,Positive,Joy,Trust,Joy,,,,
"This was not taken from a movie or edited on Photoshop this is Gaza, Palestine where Israeli bombs dropped.",Neutral,Joy,Joy,Joy,,,,
Support medical relief for the people of #Gaza by donating to @FriendsPRCS: http://t.co/ViBu7f6icc  #GazaUnderAttack http://t.co/Zdk78bkkc9,Neutral,Disgust,Trust,Fear,,,,
"#Hamas sacrifices #Gaza for its extremism: ""The resistance protects its people who are paying with their pure blood"" http://t.co/EEblcZAr0o",Negative,Anger,Fear,Sadness,,,,
Caliph Al-Baghdadi On The Run And Is Severely Injured,Slightly Negative,Fear,Sadness,Joy,,,,
Footage Surfacing That Shows ISIS Getting Whooped,Neutral,Joy,Joy,Joy,,,,
When in Gaza do like the Gazans do-- resist...,Slightly Negative,Joy,Joy,Joy,,,,
"Look who had tunnels that were used the same way #Hamas tunnels are used in #Gaza ,yes the Jews in Warsaw ghetto !! http://t.co/BebZXlAZ1J",Slightly Negative,Fear,Sadness,Disgust,,,,
"My ""2 cents"" on (UN) ""aid"" ",Slightly Positive,Joy,Joy,Joy,,,,
"RT if, like us, you believe no-one should have to live under conditions like those imposed by the #Gaza blockade. http://t.co/YcgUMyi0zs",Slightly Negative,Anger,Fear,Sadness,,,,
Israel Braces for War Crimes Inquiries on Gaza http://t.co/0zEiIGXtEk,Slightly Negative,Fear,Joy,Joy,,,,
Support medical relief for the people of #Gaza by donating to @FriendsPRCS : http://t.co/ViBu7f6icc  #GazaUnderAttack http://t.co/Zdk78bkkc9,Neutral,Disgust,Trust,Fear,,,,
Video: Tel Aviv protesters condemn Gaza ceasefire http://t.co/WYylAJ3GFI,Negative,Anger,Fear,Joy,,,,
U.S. says scrutinized arms to #Israel over #Gaza http://t.co/TazFnNQbG7,Neutral,Joy,Joy,Joy,,,,
1567 babies were born in #Gaza during the past 30 day Gazan's are so determined to live and make life. #hopegrowshere http://t.co/e2T80QzaUo,Slightly Positive,Joy,Joy,Joy,,,,
"Brazil, Chile, Ecuador and Peru cut diplomatic ties with Israel. Venezuela, Bolivia, Nicaragua and Cuba have no relations http://t.co/42qXhDWrE5",Neutral,Joy,Joy,Joy,,,,
This is precious. @STWuk is justifying why the world should ignore #Yazidis and focus on #Gaza http://t.co/j8NNWk5fRk http://t.co/tGFnHOctMY,Negative,Joy,Joy,Joy,,,,
"Palestinian officials say that at least 4,500 babies were born since Israel's military operation began in #Gaza | http://t.co/A9jd5ipWjz",Neutral,Fear,Trust,Joy,,,,
Palestinians share tear gas advice with #Ferguson protesters http://t.co/iYILs3KajM #Gaza #HandsUp #NMOS14 #MikeBrown http://t.co/csq6LKKWQc,Negative,Fear,Anger,Trust,,,,
BREAKING NEWS: U.S. halts transfer of missiles to #Israel,Neutral,Joy,Joy,Joy,,,,
The Response My Cousin Received From Woolworths To Her Post Of Them Supporting Israel @radioislam @Faizie143 @zaakiZ http://t.co/xVZIfeIGbB,Slightly Positive,Trust,Joy,Joy,,,,
@702JohnRobbie so tony ehrenreich is allowed to say racist things because of what's happening in Gaza. How are you still allowed on radio???,Slightly Negative,Joy,Joy,Joy,,,,
